rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Star Wars: Episode IV - A New Hope,307263857,307263857.0,100.0,,
2,Smokey and the Bandit,126748082,126737428.0,100.0,87.0,0.1
3,Close Encounters of the Third Kind,116395662,116395460.0,100.0,,
4,Saturday Night Fever,94213184,94213184.0,100.0,,
5,A Bridge Too Far,50750000,50750000.0,100.0,,
6,The Deep,47346365,47346365.0,100.0,,
7,The Spy Who Loved Me,46839295,46838673.0,100.0,,
8,"Oh, God!",41687243,41687243.0,100.0,,
9,Annie Hall,38252415,38251425.0,100.0,,
10,Semi-Tough,37187139,37187139.0,100.0,,
11,Pete's Dragon,35488000,35488000.0,100.0,,
12,Heroes,33500000,33500000.0,100.0,,
13,High Anxiety,31063038,31063038.0,100.0,,
14,Exorcist II: The Heretic,30749142,30749142.0,100.0,,
15,The Rescuers,29000000,29000000.0,100.0,,
16,Slap Shot,28000000,28000000.0,100.0,,
17,Herbie Goes to Monte Carlo,28000000,28000000.0,100.0,,
18,The Gauntlet,26414658,26414658.0,100.0,,
19,The Turning Point,25933445,25933445.0,100.0,,
20,Freaky Friday,25642000,25642000.0,100.0,,
21,The Other Side of Midnight,24652021,24652021.0,100.0,,
22,Looking for Mr. Goodbar,22512655,22512655.0,100.0,,
23,Julia,20714400,20714400.0,100.0,,
24,The Bad News Bears in Breaking Training,19104350,19104350.0,100.0,,
25,For the Love of Benji,17732000,17732000.0,100.0,,
26,"New York, New York",16400658,16400000.0,100.0,,
27,Black Sunday,15769322,15769322.0,100.0,,
28,Orca,14717854,14717854.0,100.0,,
29,Bobby Deerfield,9300000,9300000.0,100.0,,
30,Islands in the Stream,5596173,5596173.0,100.0,,
31,"Race for Your Life, Charlie Brown",3223888,3223888.0,100.0,,
32,March or Die,1000000,1000000.0,100.0,,
33,Joseph Andrews,839865,839865.0,100.0,,
34,Citizens Band,815530,815530.0,100.0,,
35,Fraternity Row,290674,290674.0,100.0,,
36,Sorcerer,990,,,,
37,1900,360,,,,
